                    X              UR1-Node2              UR1-Node3              UR2-Node2              UR2-Node3              UR3-Node2              UR3-Node3                   U1-Node2               U1-Node3               U2-Node2               U2-Node3               U3-Node2               U3-Node3
               23.E-03             3.21209E-03        7.49925E-03      -16.2161E-06       -23.9161E-06        -2.24062E-03       -2.95993E-03     -379.758E-09         -2.19616E-06     -612.571E-06         -1.95978E-03        3.59677E-06       10.746E-06  
               23.5E-03         -105.776E-06        190.209E-06        -16.4291E-06       -13.0116E-06        -2.09251E-03       -2.72246E-03     -325.545E-09         -1.87219E-06     -577.548E-06         -1.82242E-03        3.75508E-06       11.2887E-06 
               24.E-03             3.30412E-03        9.53186E-03      -16.7493E-06       -26.7866E-06        -1.93952E-03       -2.48912E-03     -296.281E-09         -1.60973E-06     -539.753E-06         -1.68293E-03        3.89323E-06       11.8014E-06 
               24.5E-03            9.6991E-03        15.2799E-03       -19.7481E-06       -35.1365E-06        -1.78218E-03       -2.27158E-03     -263.364E-09         -1.36099E-06     -498.053E-06         -1.54354E-03        4.0202E-06        12.3048E-06 
               25.E-03             5.79504E-03        9.55142E-03      -18.4777E-06       -27.7771E-06        -1.62165E-03       -2.07459E-03     -208.885E-09         -1.11956E-06     -452.15E-06          -1.40592E-03        4.15642E-06       12.8153E-06 
               25.5E-03           -1.47945E-03        2.83078E-03      -16.5179E-06       -19.3488E-06        -1.4594E-03        -1.89909E-03     -160.351E-09       -916.412E-09       -402.765E-06         -1.27112E-03        4.29586E-06       13.3137E-06 
               26.E-03             2.88982E-03        4.55027E-03      -18.4399E-06       -23.0031E-06        -1.29768E-03       -1.73897E-03     -125.265E-09       -746.5E-09         -351.542E-06         -1.13959E-03        4.41833E-06       13.7789E-06 
               26.5E-03            8.65167E-03       14.9663E-03       -18.8619E-06       -32.9854E-06        -1.13894E-03       -1.58632E-03     -100.097E-09       -609.727E-09       -300.733E-06         -1.01135E-03        4.52211E-06       14.2222E-06 
               27.E-03             6.62449E-03       13.5923E-03       -17.9563E-06       -31.6798E-06      -985.998E-06         -1.43176E-03      -75.199E-09       -487.016E-09       -252.716E-06       -886.328E-06          4.60303E-06       14.6706E-06 
               27.5E-03            1.25777E-03        1.78191E-03      -18.7553E-06       -23.1075E-06      -841.063E-06         -1.2679E-03       -41.457E-09       -347.674E-09       -209.487E-06       -764.636E-06          4.66143E-06       15.1165E-06 
