                -0.39553E-06                -0.62937E-03                 0.38220E-05                 0.79516E-02                -0.16849E-04                -0.22891E-02                -0.23986E-05                -0.20450E-02                 0.11627E-04                 0.13119E-01                -0.29104E-04                -0.30985E-02
                -0.45743E-06                -0.67679E-03                 0.35795E-05                 0.32649E-02                -0.82345E-05                -0.24345E-02                -0.26789E-05                -0.21676E-02                 0.11105E-04                 0.68622E-02                -0.81866E-05                -0.32513E-02
                -0.52396E-06                -0.72430E-03                 0.33408E-05                 0.19739E-03                -0.24065E-05                -0.25736E-02                -0.29520E-05                -0.22829E-02                 0.10574E-04                 0.36605E-02                 0.44594E-05                -0.33851E-02
                -0.59187E-06                -0.76980E-03                 0.31181E-05                 0.49089E-02                -0.10390E-04                -0.27049E-02                -0.32189E-05                -0.23910E-02                 0.10015E-04                 0.84596E-02                -0.13334E-04                -0.35072E-02
                -0.65718E-06                -0.81113E-03                 0.29222E-05                 0.78755E-02                -0.16285E-04                -0.28266E-02                -0.34815E-05                -0.24921E-02                 0.94446E-05                 0.13966E-01                -0.30641E-04                -0.36256E-02
                -0.71584E-06                -0.84651E-03                 0.27637E-05                 0.44198E-02                -0.81674E-05                -0.29374E-02                -0.37411E-05                -0.25862E-02                 0.88747E-05                 0.92211E-02                -0.11913E-04                -0.37465E-02
                -0.76464E-06                -0.87483E-03                 0.26396E-05                 0.87672E-03                 0.96449E-06                -0.30360E-02                -0.39969E-05                -0.26731E-02                 0.82922E-05                 0.27129E-02                 0.12358E-04                -0.38727E-02
                -0.80201E-06                -0.89588E-03                 0.25401E-05                 0.28689E-02                -0.36551E-05                -0.31215E-02                -0.42452E-05                -0.27519E-02                 0.76850E-05                 0.73549E-02                -0.23727E-05                -0.40029E-02
                -0.82819E-06                -0.91030E-03                 0.24651E-05                 0.77565E-02                -0.13977E-04                -0.31933E-02                -0.44789E-05                -0.28213E-02                 0.70694E-05                 0.13369E-01                -0.26732E-04                -0.41319E-02
                -0.84501E-06                -0.91940E-03                 0.24110E-05                 0.62093E-02                -0.93311E-05                -0.32514E-02                -0.46874E-05                -0.28799E-02                 0.64770E-05                 0.10536E-01                -0.14134E-04                -0.42511E-02
                -0.85527E-06                -0.92486E-03                 0.23658E-05                 0.68738E-03                 0.41174E-05                -0.32958E-02                -0.48586E-05                -0.29260E-02                 0.59080E-05                 0.44718E-02                 0.15556E-04                -0.43506E-02
                -0.86182E-06                -0.92831E-03                 0.23181E-05                 0.21197E-02                 0.16657E-05                -0.33262E-02                -0.49804E-05                -0.29580E-02                 0.53415E-05                 0.48505E-02                 0.13199E-04                -0.44209E-02
                -0.86676E-06                -0.93094E-03                 0.22562E-05                 0.70374E-02                -0.96547E-05                -0.33430E-02                -0.50435E-05                -0.29749E-02                 0.47937E-05                 0.12222E-01                -0.18066E-04                -0.44552E-02
                -0.87101E-06                -0.93323E-03                 0.21722E-05                 0.67542E-02                -0.88699E-05                -0.33460E-02                -0.50437E-05                -0.29762E-02                 0.43023E-05                 0.12921E-01                -0.18723E-04                -0.44508E-02
                -0.87390E-06                -0.93484E-03                 0.20647E-05                 0.23666E-02                 0.26684E-05                -0.33352E-02                -0.49826E-05                -0.29621E-02                 0.38691E-05                 0.48556E-02                 0.15543E-04                -0.44092E-02
                -0.87340E-06                -0.93467E-03                 0.19343E-05                 0.83436E-03                 0.63967E-05                -0.33104E-02                -0.48672E-05                -0.29335E-02                 0.34649E-05                 0.40327E-02                 0.21393E-04                -0.43363E-02
                -0.86662E-06                -0.93112E-03                 0.17874E-05                 0.56466E-02                -0.50598E-05                -0.32713E-02                -0.47083E-05                -0.28915E-02                 0.30783E-05                 0.10933E-01                -0.76839E-05                -0.42409E-02
                -0.85041E-06                -0.92246E-03                 0.16344E-05                 0.81372E-02                -0.10353E-04                -0.32177E-02                -0.45176E-05                -0.28378E-02                 0.27315E-05                 0.12986E-01                -0.17897E-04                -0.41328E-02
                -0.82237E-06                -0.90720E-03                 0.14822E-05                 0.30146E-02                 0.14050E-05                -0.31499E-02                -0.43054E-05                -0.27739E-02                 0.24329E-05                 0.75761E-02                 0.67485E-05                -0.40209E-02
                -0.78165E-06                -0.88449E-03                 0.13295E-05                 0.53157E-03                 0.79545E-05                -0.30680E-02                -0.40796E-05                -0.27009E-02                 0.21563E-05                 0.31255E-02                 0.23277E-04                -0.39111E-02
                -0.72919E-06                -0.85433E-03                 0.11732E-05                 0.46871E-02                -0.99123E-06                -0.29727E-02                -0.38443E-05                -0.26197E-02                 0.18884E-05                 0.84014E-02                 0.23245E-05                -0.38057E-02
                -0.66779E-06                -0.81760E-03                 0.10198E-05                 0.76350E-02                -0.75533E-05                -0.28651E-02                -0.36005E-05                -0.25305E-02                 0.16467E-05                 0.14298E-01                -0.18033E-04                -0.37021E-02
                -0.60143E-06                -0.77592E-03                 0.87440E-06                 0.49531E-02                -0.11917E-05                -0.27464E-02                -0.33473E-05                -0.24334E-02                 0.14454E-05                 0.88372E-02                 0.54315E-07                -0.35950E-02
