
                  X               UR1           UR2           UR3           U1           U2           U3    
                9.5E-03          -25.5375E-09        -6.81379E-06       86.5337E-06        -7.20633E-06        7.17682E-06        7.11226E-06
                9.6E-03          -26.6197E-09        -7.10019E-06       88.3649E-06        -7.35855E-06        7.32777E-06        7.26048E-06
                9.7E-03          -27.7356E-09        -7.39537E-06       90.2154E-06        -7.51236E-06        7.48027E-06        7.41015E-06
                9.75E-03         -28.3064E-09        -7.5463E-06        91.1478E-06        -7.58985E-06        7.5571E-06         7.48553E-06
                9.85E-03         -29.4742E-09        -7.85495E-06       93.0271E-06        -7.74603E-06        7.71191E-06        7.63737E-06
                9.95E-03         -30.6774E-09        -8.1728E-06        94.9255E-06        -7.9038E-06         7.86825E-06        7.79067E-06
               10.05E-03         -31.9167E-09        -8.50002E-06       96.843E-06         -8.06314E-06        8.02614E-06        7.94541E-06
               10.15E-03         -33.1928E-09        -8.83677E-06       98.7798E-06        -8.22406E-06        8.18556E-06        8.10159E-06
               10.25E-03         -34.5064E-09        -9.18323E-06      100.736E-06         -8.38656E-06        8.34652E-06        8.25921E-06
               10.35E-03         -35.8582E-09        -9.53957E-06      102.711E-06         -8.55065E-06        8.50901E-06        8.41827E-06
               10.45E-03         -37.249E-09         -9.90596E-06      104.705E-06         -8.71631E-06        8.67303E-06        8.57876E-06
               10.5E-03          -37.9591E-09       -10.093E-06        105.709E-06         -8.79973E-06        8.75561E-06        8.65954E-06
               10.6E-03          -39.4096E-09       -10.4748E-06       107.732E-06         -8.96776E-06        8.92193E-06        8.82218E-06
               10.7E-03          -40.9007E-09       -10.8671E-06       109.775E-06         -9.13737E-06        9.08978E-06        8.98624E-06
               10.8E-03          -42.4333E-09       -11.2701E-06       111.836E-06         -9.30856E-06        9.25915E-06        9.15172E-06
               10.9E-03          -44.0081E-09       -11.6839E-06       113.917E-06         -9.48133E-06        9.43005E-06        9.31862E-06
               11.E-03           -45.6258E-09       -12.1087E-06       116.016E-06         -9.65567E-06        9.60248E-06        9.48693E-06
               11.1E-03          -47.2871E-09       -12.5448E-06       118.135E-06         -9.8316E-06         9.77643E-06        9.65666E-06
               11.2E-03          -48.9929E-09       -12.9923E-06       120.273E-06        -10.0091E-06         9.9519E-06         9.82779E-06
               11.25E-03         -49.8627E-09       -13.2203E-06       121.349E-06        -10.0984E-06        10.0402E-06         9.91389E-06
               11.35E-03         -51.6365E-09       -13.6852E-06       123.516E-06        -10.2783E-06        10.218E-06         10.0871E-06 
               11.45E-03         -53.4566E-09       -14.1619E-06       125.702E-06        -10.4597E-06        10.3972E-06        10.2618E-06 
               11.55E-03         -55.3238E-09       -14.6507E-06       127.907E-06        -10.6428E-06        10.578E-06         10.4378E-06 
               11.65E-03         -57.2389E-09       -15.1517E-06       130.132E-06        -10.8273E-06        10.7603E-06        10.6152E-06 
               11.75E-03         -59.2026E-09       -15.665E-06        132.375E-06        -11.0135E-06        10.9441E-06        10.7941E-06 
               11.85E-03         -61.2158E-09       -16.191E-06        134.638E-06        -11.2012E-06        11.1295E-06        10.9743E-06 
               11.95E-03         -63.2791E-09       -16.7297E-06       136.92E-06         -11.3906E-06        11.3163E-06        11.1559E-06 
               12.E-03           -64.3299E-09       -17.0039E-06       138.068E-06        -11.4858E-06        11.4103E-06        11.2472E-06 
               12.1E-03          -66.47E-09         -17.5622E-06       140.378E-06        -11.6775E-06        11.5994E-06        11.4308E-06 
               12.2E-03          -68.6624E-09       -18.1337E-06       142.708E-06        -11.8707E-06        11.79E-06          11.6159E-06 
               12.3E-03          -70.9077E-09       -18.7186E-06       145.057E-06        -12.0656E-06        11.9822E-06        11.8023E-06 
               12.4E-03          -73.2069E-09       -19.3171E-06       147.425E-06        -12.2619E-06        12.1758E-06        11.99E-06   
               12.5E-03          -75.5608E-09       -19.9294E-06       149.813E-06        -12.4599E-06        12.3709E-06        12.1792E-06 
               12.6E-03          -77.97E-09         -20.5558E-06       152.219E-06        -12.6594E-06        12.5676E-06        12.3697E-06 
               12.7E-03          -80.4356E-09       -21.1963E-06       154.645E-06        -12.8606E-06        12.7657E-06        12.5615E-06 
               12.75E-03         -81.6897E-09       -21.5219E-06       155.865E-06        -12.9617E-06        12.8653E-06        12.6579E-06 
               12.85E-03         -84.2413E-09       -22.1841E-06       158.319E-06        -13.1652E-06        13.0657E-06        12.8518E-06 
               12.95E-03         -86.8512E-09       -22.8609E-06       160.793E-06        -13.3702E-06        13.2676E-06        13.047E-06  
               13.05E-03         -89.5203E-09       -23.5526E-06       163.285E-06        -13.5768E-06        13.4709E-06        13.2436E-06 
               13.15E-03         -92.2495E-09       -24.2594E-06       165.797E-06        -13.785E-06         13.6758E-06        13.4415E-06 
               13.25E-03         -95.0396E-09       -24.9814E-06       168.328E-06        -13.9947E-06        13.8822E-06        13.6407E-06 
               13.35E-03         -97.8914E-09       -25.7188E-06       170.879E-06        -14.206E-06         14.09E-06          13.8413E-06 
               13.45E-03        -100.806E-09        -26.4719E-06       173.448E-06        -14.4189E-06        14.2994E-06        14.0432E-06 
               13.5E-03         -102.287E-09        -26.8543E-06       174.74E-06         -14.5259E-06        14.4046E-06        14.1446E-06 
               13.6E-03         -105.297E-09        -27.6312E-06       177.338E-06        -14.7412E-06        14.6161E-06        14.3485E-06 
               13.7E-03         -108.372E-09        -28.4242E-06       179.955E-06        -14.9579E-06        14.8292E-06        14.5537E-06 
               13.8E-03         -111.512E-09        -29.2336E-06       182.592E-06        -15.1763E-06        15.0437E-06        14.7602E-06 
               13.9E-03         -114.719E-09        -30.0594E-06       185.248E-06        -15.3962E-06        15.2597E-06        14.968E-06  
               14.E-03          -117.993E-09        -30.902E-06        187.922E-06        -15.6177E-06        15.4772E-06        15.1771E-06 
               14.1E-03         -121.336E-09        -31.7614E-06       190.616E-06        -15.8408E-06        15.6962E-06        15.3876E-06 
               14.2E-03         -124.748E-09        -32.638E-06        193.33E-06         -16.0654E-06        15.9166E-06        15.5993E-06 
               14.25E-03        -126.48E-09         -33.0827E-06       194.693E-06        -16.1783E-06        16.0274E-06        15.7056E-06 
               14.35E-03        -129.998E-09        -33.9853E-06       197.435E-06        -16.4053E-06        16.2501E-06        15.9193E-06 
               14.45E-03        -133.586E-09        -34.9055E-06       200.196E-06        -16.6338E-06        16.4742E-06        16.1342E-06 
               14.55E-03        -137.247E-09        -35.8434E-06       202.977E-06        -16.8639E-06        16.6998E-06        16.3504E-06 
               14.65E-03        -140.982E-09        -36.7993E-06       205.776E-06        -17.0956E-06        16.9268E-06        16.5679E-06 
               14.75E-03        -144.791E-09        -37.7735E-06       208.595E-06        -17.3288E-06        17.1554E-06        16.7867E-06 
               14.85E-03        -148.674E-09        -38.766E-06        211.432E-06        -17.5636E-06        17.3854E-06        17.0068E-06 
               14.95E-03        -152.634E-09        -39.777E-06        214.289E-06        -17.8E-06           17.6168E-06        17.2281E-06 
               15.E-03          -154.642E-09        -40.2896E-06       215.725E-06        -17.9187E-06        17.7331E-06        17.3392E-06 
