                -0.46807E-05                 0.41995E-05                 0.46366E-05                -0.44152E-04                -0.43712E-04                 0.11660E-01
                -0.48038E-05                 0.42999E-05                 0.47573E-05                -0.45026E-04                -0.44668E-04                 0.11966E-01
                -0.49285E-05                 0.44012E-05                 0.48796E-05                -0.45902E-04                -0.45633E-04                 0.12275E-01
                -0.50549E-05                 0.45034E-05                 0.50034E-05                -0.46780E-04                -0.46607E-04                 0.12589E-01
                -0.51828E-05                 0.46064E-05                 0.51287E-05                -0.47658E-04                -0.47592E-04                 0.12906E-01
                -0.53123E-05                 0.47103E-05                 0.52555E-05                -0.48538E-04                -0.48586E-04                 0.13227E-01
                -0.54434E-05                 0.48151E-05                 0.53838E-05                -0.49418E-04                -0.49590E-04                 0.13552E-01
                -0.55761E-05                 0.49208E-05                 0.55136E-05                -0.50300E-04                -0.50605E-04                 0.13881E-01
                -0.57104E-05                 0.50273E-05                 0.56448E-05                -0.51182E-04                -0.51630E-04                 0.14214E-01
                -0.58462E-05                 0.51346E-05                 0.57776E-05                -0.52065E-04                -0.52665E-04                 0.14551E-01
                -0.59837E-05                 0.52428E-05                 0.59118E-05                -0.52949E-04                -0.53712E-04                 0.14891E-01
                -0.61228E-05                 0.53519E-05                 0.60476E-05                -0.53834E-04                -0.54768E-04                 0.15236E-01
                -0.62635E-05                 0.54617E-05                 0.61848E-05                -0.54720E-04                -0.55836E-04                 0.15584E-01
                -0.64057E-05                 0.55724E-05                 0.63235E-05                -0.55606E-04                -0.56915E-04                 0.15937E-01
                -0.65496E-05                 0.56838E-05                 0.64636E-05                -0.56493E-04                -0.58005E-04                 0.16293E-01
                -0.66951E-05                 0.57961E-05                 0.66052E-05                -0.57381E-04                -0.59107E-04                 0.16653E-01
                -0.68421E-05                 0.59092E-05                 0.67483E-05                -0.58269E-04                -0.60220E-04                 0.17017E-01
                -0.69908E-05                 0.60231E-05                 0.68929E-05                -0.59158E-04                -0.61344E-04                 0.17384E-01
                -0.71410E-05                 0.61377E-05                 0.70389E-05                -0.60048E-04                -0.62480E-04                 0.17756E-01
                -0.72928E-05                 0.62532E-05                 0.71864E-05                -0.60938E-04                -0.63627E-04                 0.18132E-01
                -0.74462E-05                 0.63694E-05                 0.73354E-05                -0.61830E-04                -0.64786E-04                 0.18511E-01
                -0.76013E-05                 0.64864E-05                 0.74858E-05                -0.62722E-04                -0.65957E-04                 0.18894E-01
                -0.77579E-05                 0.66041E-05                 0.76376E-05                -0.63614E-04                -0.67140E-04                 0.19281E-01
                -0.79161E-05                 0.67227E-05                 0.77909E-05                -0.64508E-04                -0.68334E-04                 0.19672E-01
                -0.80759E-05                 0.68420E-05                 0.79456E-05                -0.65402E-04                -0.69541E-04                 0.20067E-01
                -0.82373E-05                 0.69620E-05                 0.81018E-05                -0.66298E-04                -0.70759E-04                 0.20465E-01
                -0.84003E-05                 0.70828E-05                 0.82594E-05                -0.67194E-04                -0.71989E-04                 0.20868E-01
                -0.85648E-05                 0.72043E-05                 0.84185E-05                -0.68091E-04                -0.73231E-04                 0.21274E-01
                -0.87310E-05                 0.73266E-05                 0.85790E-05                -0.68989E-04                -0.74485E-04                 0.21684E-01
                -0.88988E-05                 0.74496E-05                 0.87409E-05                -0.69889E-04                -0.75750E-04                 0.22098E-01
                -0.90681E-05                 0.75734E-05                 0.89043E-05                -0.70789E-04                -0.77027E-04                 0.22516E-01
                -0.92391E-05                 0.76978E-05                 0.90691E-05                -0.71691E-04                -0.78317E-04                 0.22937E-01
                -0.94116E-05                 0.78230E-05                 0.92352E-05                -0.72594E-04                -0.79617E-04                 0.23362E-01
                -0.95857E-05                 0.79490E-05                 0.94029E-05                -0.73498E-04                -0.80930E-04                 0.23792E-01
